title,genre,premiere,seasons,length,status,upcoming,table
,Reality,,"1 season, 7 episodes",,,,27
,Reality,,"2 seasons, 20 episodes",,,,27
,Baking reality competition,,"1 season, 12 episodes",,,,27
,Docu-series,,"1 season, 12 episodes",,,,28
,Docu-series,,"2 seasons, 30 episodes",,,,28
,Docu-series,,"1 season, 4 episodes",,,,28
,Docu-series,,"1 season, 4 episodes",,,,28
,Docu-series,,"1 season, 7 episodes",,,,28
,Docu-series,,2 episodes,,,,28
,Docu-series,,"1 season, 3 episodes",,,,28
,Docu-series,,"1 season, 8 episodes",,,,28
,Docu-series,,"2 seasons, 12 episodes",,,,28
,Docu-series,,"2 seasons, 14 episodes",,,,28
,Docu-series,,"1 season, 4 episodes",,,,28
,Docu-series,,"1 season, 4 episodes",,,,28
,Docu-series,,"3 seasons, 12 episodes",,,,28
,Docu-series,,"1 season, 6 episodes",,,,28
,Docu-series,,"1 season, 4 episodes",,,,28
,Children's television series,,"1 season, 10 episodes",,,,29
,Action adventure,,"2 seasons, 50 episodes",,,,29
,Sci-fi comedy-drama,,"2 seasons, 23 episodes",,,,29
,Action adventure,,"3 seasons, 39 episodes",,,,29
,Adventure comedy,,"3 seasons, 40 episodes",,,,29
,Animated sitcom,,"1 season, 13 episodes",,,,29
,Children's television series,,"2 seasons, 26 episodes",,,,29
,Children's television series,,"1 season, 10 episodes",,,,29
,Adventure,,"3 seasons, 65 episodes",,,,29
,,,"2 seasons, 26 episodes",,,,30
,,,"1 season, 10 episodes",,,,30
,,,"2 parts, 18 episodes",,,,30
,,,"1 season, 12 episodes",,,,30
,,,"1 season, 12 episodes",,,,30
,,,"1 season, 12 episodes",,,,30
,,,"1 season, 25 episodes",,,,30
,,,"2 seasons, 13 episodes",,,,30
,,,"2 seasons, 24 episodes",,,,30
,,,"2 seasons, 40 episodes",,,,30
,,,"2 seasons, 30 episodes",,,,30
,,,"1 season, 12 episodes",,,,30
,,,"1 season, 12 episodes",,,,30
,,,"1 season, 11 episodes",,,,30
,,,"1 season, 3 episodes",,,,30
,,,"2 seasons, 24 episodes",,,,30
,,,"2 seasons, 24 episodes",,,,30
,,,"2 seasons, 26 episodes",,,,30
,,,"2 seasons, 26 episodes",,,,30
,,,"2 seasons, 25 episodes",,,,30
,,,"1 season, 13 episodes",,,,30
,,,"1 season, 12 episodes",,,,30
,,,"1 season, 12 episodes",,,,30
,,,"4 seasons, 52 episodes",,,,30
,,,"1 season, 13 episodes",,,,30
,,,"1 season, 13 episodes",,,,30
,,,,,,,31
,,,,,,,31
,,,,,,,31
,,,,,,,31
,,,,,,,32
,,,,,,,32
,,,,,,,32
,,,,,,,32
,,,,,,,32
,,,,,,,32
,,,,,,,32
,,,,,,,32
,,,,,,,32
,,,,,,,32
,,,,,,,32
,,,,,,,32
,,,,,,,32
,,,,,,,32
,,,,,,,32
,,,,,,,32
,,,,,,,32
,,,,,,,32
,,,,,,,32
,,,,,,,32
,,,,,,,32
,,,,,,,32
,,,,,,,33
,,,,,,,33
,,,,,,,33
,,,,,,,33
,,,,,,,34
,,,,,,,35
,,,,,,,35
,,,,,,,35
,,,,,,,35
,,,,,,,36
,,,,,,,37
,,,,,,,37
,,,,,,,37
,,,,,,,37
,,,,,,,38
,,,,,,,39
,,,,,,,39
,,,,,,,40
,,,,,,,40
,,,,,,,40
,,,,,,,40
,,,,,,,40
,,,,,,,40
,,,,,,,40
,,,,,,,41
,,,,,,,41
,,,,,,,41
,,,,,,,41
,,,,,,,42
,,,,,,,42
,,,,,,,42
,,,,,,,42
,,,,,,,43
,,,,,,,43
,,,,,,,43
,,,,,,,43
,,,,,,,43
,,,,,,,43
,,,,,,,43
,,,,,,,43
,,,,,,,43
,,,,,,,43
,,,,,,,43
,,,,,,,43
,,,,,,,43
,,,,,,,43
,,,,,,,43
,,,,,,,43
,,,,,,,43
,,,,,,,43
,,,,,,,43
,,,,,,,43
,,,,,,,43
,,,,,,,43
,,,,,,,43
,,,,,,,43
,,,,,,,43
,,,,,,,43
,,,,,,,43
,,,,,,,43
,,,,,,,43
,,,,,,,43
,,,,,,,43
,,,,,,,43
,,,,,,,43
,,,,,,,43
,,,,,,,43
,,,,,,,43
,,,,,,,43
,,,,,,,43
,,,,,,,43
,,,,,,,43
,,,,,,,43
,,,,,,,43
,,,,,,,43
,,,,,,,43
,,,,,,,43
,,,,,,,43
,,,,,,,43
,,,,,,,43
,,,,,,,43
,,,,,,,43
,,,,,,,43
,,,,,,,43
,,,,,,,43
,,,,,,,43
,,,,,,,43
,,,,,,,43
,,,,,,,43
,,,,,,,43
,,,,,,,43
,,,,,,,43
,,,,,,,43
,,,,,,,43
,,,,,,,43
,,,,,,,43
,,,,,,,43
,,,,,,,43
,,,,,,,44
,,,,,,,45
,,,,,,,45
,,,,,,,45
,,,,,,,45
,,,,,,,46
,,,,,,,46
,,,,,,,47
,,,,,,,47
,,,,,,,47
,,,,,,,47
,,,,,,,47
,,,,,,,48
,,,,,,,48
,,,,,,,48
,,,,,,,49
,,,,,,,49
,,,,,,,49
,,,,,,,49
,,,,,,,49
,,,,,,,50
,,,,,,,50
,,,,,,,50
,,,,,,,51
,,,,,,,51
,,,,,,,51
,,,,,,,52
,,,,,,,53
,,,,,,,53
,,,,,,,53
,,,,,,,53
,,,,,,,53
,,,,,,,53
,,,,,,,53
,,,,,,,53
,,,,,,,53
,,,,,,,53
,,,,,,,53
,,,,,,,53
,,,,,,,53
,,,,,,,54
,,,,,,,54
,,,,,,,54
,,,,,,,54
,,,,,,,54
,,,,,,,54
,,,,,,,54
,,,,,,,54
,,,,,,,54
,,,,,,,54
,,,,,,,54
,,,,,,,55
,,,,,,,55
,,,,,,,55
,,,,,,,56
,,,,,,,57
,,,,,,,57
,,,,,,,57
,,,,,,,57
,,,,,,,57
,,,,,,,58
,,,,,,,58
,,,,,,,58
,,,,,,,59
,,,,,,,60
,,,,,,,60
,,,,,,,60
,,,,,,,61
,,,,,,,62
